Name,Ticker,Date,Price,,Tracking Index,Price,,,,,,
Vanguard FTSE 100 UCITS ETF,LON:VUKE,9/21/2018 16:35:18,33.63,,INDEXFTSE:UKX,,,,,,,
Vanguard FTSE North America UCITS ETF,LON:VNRT,9/21/2018 16:35:18,33.63,,,,,,,,CURRENCY:EURUSD,#N/A
Vanguard FTSE 250 UCITS ETF,LON:VMID,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard S&P 500 UCITS ETF,LON:VUSA,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard FTSE Emerging Markets UCITS ETF,LON:VFEM,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard DAX UCITS ETF,LON:VDXX,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard Euro Stoxx 50 UCITS ETF,LON:VX5E,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard FTSE Developed Europe UCITS ETF,LON:VEUR,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard FTSE Developed Europe ex UK UCITS ETF,LON:VERX,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard FTSE All-World High Dividend Yield UCITS ETF,LON:VHYL,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard FTSE All-World UCITS ETF,LON:VWRL,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard FTSE Developed World UCITS ETF,LON:VEVE,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard Global Liquidity Factor UCITS ETF,LON:VLIQ,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard Global Minimum Volatility UCITS ETF,LON:VMVL,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard Global Momentum Factor UCITS ETF,LON:VMOM,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard Global Value Factor UCITS ETF,LON:VVAL,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard FTSE Japan UCITS ETF,LON:VJPN,9/21/2018 16:35:18,33.63,,,,,,,,,
Vanguard FTSE Asia Pacific ex Japan UCITS ETF,LON:VAPX,43364.69118,33.63,,,,,,,,,